Title,Note,URL,Tags,Comment
Casse-Croûte,,https://www.google.com/maps/place/Casse-Cro%C3%BBte/data=!4m2!3m1!1s0x48760344c9ebedab:0xf189302af7c29a49,,
The Social,,https://www.google.com/maps/place/The+Social/data=!4m2!3m1!1s0x48761b2a8052c641:0x515cb2929e132ff7,,
Sushi Masa,,https://www.google.com/maps/place/Sushi+Masa/data=!4m2!3m1!1s0x4876105a8d31c22d:0xa8e7b66b597189b8,,
Med Salleh Kopitiam,,https://www.google.com/maps/place/Med+Salleh+Kopitiam/data=!4m2!3m1!1s0x487605001cf5b3fb:0xa7e43400b7f1fb7a,,
Kolae,,https://www.google.com/maps/place/Kolae/data=!4m2!3m1!1s0x487603353370066b:0xc8030aeb7f27624e,,
Scootercaffe,,https://www.google.com/maps/place/Scootercaffe/data=!4m2!3m1!1s0x487604b922e54e83:0x64ac5690587af59a,,
The Thin White Duke,Dim sum and cocktails ,https://www.google.com/maps/place/The+Thin+White+Duke/data=!4m2!3m1!1s0x487605069b22ecb3:0x9bf88e8800f99637,,
Satay Street Café,,https://www.google.com/maps/place/Satay+Street+Caf%C3%A9/data=!4m2!3m1!1s0x48761cb495706bd1:0x4b4a6b559c58e45e,,
Ginger & White,,https://www.google.com/maps/place/Ginger+%26+White/data=!4m2!3m1!1s0x48761a87ea69cf61:0x7df713880525921,,
Sushi Tetsu,,https://www.google.com/maps/place/Sushi+Tetsu/data=!4m2!3m1!1s0x48761b08895deba1:0x850cd63a6754748f,,
The Araki,,https://www.google.com/maps/place/The+Araki/data=!4m2!3m1!1s0x487604d58592666b:0x747345910d199aad,,
Dim Sum Duck,,https://www.google.com/maps/place/Dim+Sum+Duck/data=!4m2!3m1!1s0x48761be1179256fd:0xa1bb73561ea41cce,,
The Glitch,,https://www.google.com/maps/place/The+Glitch/data=!4m2!3m1!1s0x487605fe3122121d:0xd93f3bbb89fc929e,,
The Gentlemen Baristas London Bridge,,https://www.google.com/maps/place/The+Gentlemen+Baristas+London+Bridge/data=!4m2!3m1!1s0x487603ce7b5d288b:0x7e68200403f0453e,,
Lantana London Bridge,,https://www.google.com/maps/place/Lantana+London+Bridge/data=!4m2!3m1!1s0x487604a80380efed:0x915259048468303b,,
Maida,indo chinese,https://www.google.com/maps/place/Maida/data=!4m2!3m1!1s0x48760304dfeb1f45:0xf15218ad247b57ee,,
Below Stone Nest,,https://www.google.com/maps/place/Below+Stone+Nest/data=!4m2!3m1!1s0x487604d282b0a0d5:0x683c8a0922fb01d4,,
The Albion,,https://www.google.com/maps/place/The+Albion/data=!4m2!3m1!1s0x48761b6911b4c509:0xab9ed93d1f561344,,
The Scolt Head,Pub garden,https://www.google.com/maps/place/The+Scolt+Head/data=!4m2!3m1!1s0x48761c909a936dbd:0x25780105113aaac2,,
Caia,,https://www.google.com/maps/place/Caia/data=!4m2!3m1!1s0x48761132664cfafd:0x11a460d5cd3fa789,,
Brewhouse & Kitchen - Hoxton,,https://www.google.com/maps/place/Brewhouse+%26+Kitchen+-+Hoxton/data=!4m2!3m1!1s0x48761d8b7a805159:0x630b16797cefcb83,,
The Crown and Shuttle,,https://www.google.com/maps/place/The+Crown+and+Shuttle/data=!4m2!3m1!1s0x48761cba6c5d324f:0xb7498edf62ad6e7f,,
Juju's Bar and Stage,,https://www.google.com/maps/place/Juju's+Bar+and+Stage/data=!4m2!3m1!1s0x48761cb6622a03e5:0xbccbb5d2b7d7ef24,,
Provisions Holloway,Wine n cheese,https://www.google.com/maps/place/Provisions+Holloway/data=!4m2!3m1!1s0x48761b0aa95ac36b:0x40ee35ff5f0c5a39,,
Rogue Sarnies,,https://www.google.com/maps/place/Rogue+Sarnies/data=!4m2!3m1!1s0x48761dd58f566d3f:0x86b4c72a8ecca9,,
T Ó U,,https://www.google.com/maps/place/T+%C3%93+U/data=!4m2!3m1!1s0x48761bf28deffeaf:0x42c225706d6dd7f8,,
Three Colts Tavern,,https://www.google.com/maps/place/Three+Colts+Tavern/data=!4m2!3m1!1s0x48761d49dfc6ea77:0x73cb9210c8c84091,,
The Rising Sun Mill Hill,,https://www.google.com/maps/place/The+Rising+Sun+Mill+Hill/data=!4m2!3m1!1s0x487616e38907d807:0xeb49ad425fd4fe4e,,
Ewarts Jerk,Jerk chicken,https://www.google.com/maps/place/Ewarts+Jerk/data=!4m2!3m1!1s0x48761c8e7fb6e913:0xbca91c29c0f99ecc,,
Total Refreshment Centre,,https://www.google.com/maps/place/Total+Refreshment+Centre/data=!4m2!3m1!1s0x48761c8aeb8c7acf:0xc48e326a772abf80,,
Flashback Records,,https://www.google.com/maps/place/Flashback+Records/data=!4m2!3m1!1s0x48761b6733546a0b:0x119b3652449f5180,,
Flashback Records,,https://www.google.com/maps/place/Flashback+Records/data=!4m2!3m1!1s0x48761cb7f0d6ed8b:0x1ad08e1aa910a8aa,,
Chick and Beers (Coombe Road),,https://www.google.com/maps/place/Chick+and+Beers+(Coombe+Road)/data=!4m2!3m1!1s0x487609caea37b41b:0xa0ebb95a23abee73,,
Kadiri's,,https://www.google.com/maps/place/Kadiri's/data=!4m2!3m1!1s0x4876105035519de3:0x7c2fb001354471e5,,
Fuckoffee,cafe/coworking,https://www.google.com/maps/place/Fuckoffee/data=!4m2!3m1!1s0x48760344a7759805:0x2ee204ed5a783bb9,,
Origin Coffee (Scoresby Street),cafe/ coworking,https://www.google.com/maps/place/Origin+Coffee+(Scoresby+Street)/data=!4m2!3m1!1s0x487605a5bbb206db:0xa9cfc05c4670e898,,
Berenjak Soho,,https://www.google.com/maps/place/Berenjak+Soho/data=!4m2!3m1!1s0x48760533134b669b:0xbc560d9169dcb066,,
The Lost Jungle,,https://www.google.com/maps/place/The+Lost+Jungle/data=!4m2!3m1!1s0x48761424f5f43333:0x80fe989624a41009,,
Singapulah London,,https://www.google.com/maps/place/Singapulah+London/data=!4m2!3m1!1s0x487605d3ce6233c1:0xa04ed47794d7150b,,
Crunch,,https://www.google.com/maps/place/Crunch/data=!4m2!3m1!1s0x48761d548abe60a7:0x8106f3857733dd62,,
"Ember Locke, Kensington",Co-working,"https://www.google.com/maps/place/Ember+Locke,+Kensington/data=!4m2!3m1!1s0x48760f674a575d2f:0xf5f092f4b9b35b12",,
Draughts - Waterloo,,https://www.google.com/maps/place/Draughts+-+Waterloo/data=!4m2!3m1!1s0x48760594be41b149:0xa07d60a560bdbd10,,
White Cube,Art gallery,https://www.google.com/maps/place/White+Cube/data=!4m2!3m1!1s0x48761cbac5a723d9:0xd3e31c1c29116ac6,,
